EN,CZ,Order,Sentence,SentenceT,WS,L,HT
ticket,lístek,96,I buy a ticket and put it in my pocket.,Koupím si lístek a dám si ho do kapsy.,Things,ne,ne
walk,chodit,97,Let’s walk slowly and enjoy the air.,Pojďme jít pomalu a užít si vzduch.,Actions,ano,ano
water,voda,98,Cold water feels good after a long walk.,Studená voda je příjemná po dlouhé procházce.,Food,ano,ano
white,bílý,99,The white cat sits on the warm window.,Bílá kočka sedí na teplém parapetu.,Colors,ano,ne
yellow,žlutý,100,A yellow flower grows near the path.,U cesty roste žlutý květ.,Colors,ano,ne
zoo,zoologická zahrada,101,"At the zoo, the kids ask many questions.",V zoo se děti ptají na spoustu věcí.,,ano,ne
zebra,zebra,102,The zebra has black and white stripes.,Zebra má černobílé pruhy.,Animals,ano,ne
restaurant,restaurace,103,We choose a small restaurant near the station.,Vybereme si malou restauraci blízko nádraží.,,ano,ano
near,blízko,104,The shop is near my home.,Obchod je blízko mého domova.,,ne,ano
far,daleko,105,Is it far from here?,Je to odtud daleko?,,ne,ano
straight,rovně,106,Go straight and turn left.,Jdi rovně a zahni doleva.,,ne,ano
turn,zahnout / odbočit,107,Turn right at the next corner.,Zahni doprava na příštím rohu.,,ne,ano
hungry,hladový,108,"I am hungry, so I make a quick sandwich.","Jsem hladový, tak si udělám rychlý sendvič.",,ano,ano
warm,teplý,109,I want something warm to drink after the walk.,Po procházce chci něco teplého k pití.,,ne,ne
welcome,vítejte,110,Welcome! Please come in and sit down.,Vítejte! Prosím pojďte dál a posaďte se.,Greetings,ano,ano
table,stůl,111,We ask for a table for two by the window.,Požádáme o stůl pro dva u okna.,Things,ano,ano
follow,následovat,112,"Please follow me;"" your room is this way.","Prosím následujte mě, váš pokoj je tudy.",Actions,ne,ne
menu,jídelní lístek,113,I read the menu and choose a simple soup.,Prohlédnu si jídelní lístek a vyberu si jednoduchou polévku.,,ano,ano
ready,připravený,114,Are you ready to leave now?,Jsi připravený teď odejít?,,ne,ano
order,objednat (si),115,"We order food, then we talk quietly.",Objednáme si jídlo a pak si v klidu povídáme.,,ano,ano
juice,džus,116,She drinks orange juice with breakfast.,K snídani pije pomerančový džus.,Food,ano,ano
apple,jablko,117,I eat an apple on my way to work.,Cestou do práce sním jablko.,Food,ano,ano
orange,pomeranč,118,He peels an orange and shares it with me.,Oloupe pomeranč a rozdělí se se mnou.,Food,ano,ano
chicken,kuře,119,"For dinner, we cook chicken with rice.",K večeři uvaříme kuře s rýží.,Food,ano,ano
rice,rýže,120,I add a little salt to the rice.,Do rýže přidám trochu soli.,Food,ano,ano
pasta,těstoviny,121,The pasta is ready in ten minutes.,Těstoviny jsou hotové za deset minut.,Food,ano,ano
cheese,sýr,122,I put cheese on the bread and heat it.,Dám na chleba sýr a ohřeju ho.,Food,ano,ano
fries,hranolky,123,"The fries are hot, so I wait a moment.","Hranolky jsou horké, tak chvilku počkám.",Food,ano,ano
potatoes,brambory,124,We buy potatoes and vegetables at the market.,Na trhu koupíme brambory a zeleninu.,Food,ano,ano
ketchup,kečup,125,"Can I have ketchup, please?","Můžu dostat kečup, prosím?",Food,ano,ano
salad,salát,126,I make a small salad with tomatoes.,Udělám malý salát s rajčaty.,Food,ano,ano
meal,jídlo,127,Enjoy your meal!,Dobrou chuť!,Food,ne,ano
hot,horký,128,"My tea is hot, but it smells great.","Můj čaj je horký, ale krásně voní.",,ano,ano
sauce,omáčka,129,"This sauce is simple, but very tasty.","Tahle omáčka je jednoduchá, ale moc chutná.",Food,ne,ano
dessert,dezert,130,Would you like dessert after lunch?,Dáš si po obědě dezert?,Food,ano,ano
ice cream,zmrzlina,131,"In summer, we share ice cream in the park.",V létě si dáme zmrzlinu v parku.,Food,ano,ano
bill,účet,132,"Excuse me, can we have the bill, please?","Promiňte, můžeme dostat účet, prosím?",,ne,ano
pound,libra (měna),133,It costs twenty pounds in total.,Celkem to stojí dvacet liber.,,ne,ne
card,karta,134,We pay by card because we have no cash.,"Zaplatíme kartou, protože nemáme hotovost.",Things,ano,ano
pay,zaplatit,135,"I pay now, and we can go.",Teď zaplatím a můžeme jít.,,ano,ano
next time,příště,136,"Next time, I will try the pizza.",Příště zkusím pizzu.,,ne,ne
try,zkusit,137,"I try a new soup, and it is good.",Zkusím novou polévku a je dobrá.,,ne,ano
again,znovu,138,We come again because we like this place.,"Přijdeme znovu, protože se nám to tu líbí.",,ne,ne
please,prosím,139,"Please speak slowly;"" I want to understand.","Prosím mluv pomalu, chci rozumět.",Greetings,ne,ne
thank you,děkuji,140,Thank you for your help today.,Děkuji za tvoji dnešní pomoc.,Greetings,ne,ne
you're welcome,není zač,141,You're welcome—I'm happy to help.,Není zač—ráda pomůžu.,Greetings,ne,ano
anything else,ještě něco,142,"Anything else, or is that all?","Ještě něco, nebo je to všechno?",,ne,ano
where,"kde, kam",143,Where do you go?,Kam jdeš?,,ano,ano
right,"pravý, správný, doprava",144,Go straight and then turn right.,Jdi rovně a pak zahni doprava.,,ano,ano
would like,"chtěl bych, rád bych",145,What would you like?,Co byste si dal? Co byste rád?,,ano,ano
enjoy,užít si,146,Enjoy your meal.,Nechte si chutnat. (Užijte si jídlo).,,ano,ano
of course,samozřejmě,147,Can I have ketchup? Of course.,Mohu si dát kečup? Samozřejmě.,,ne,ne
sure,jistě,148,I am not sure.,Nejsem si jistý.,,ne,ne
lunch,oběd,149,We have lunch at twelve o'clock.,Máme oběd ve 12 hodin.,Food,ano,ne
how much,kolik,150,How much is it?,Kolik to stojí?,,ano,ano
something,něco,151,Would you like something to drink?,Dáte si něco k pití.,,ne,ano
how,jak,152,How are you? How old are you?,Jak se máš? Kolik je ti let?,,ne,ne
next,příští,153,See you next time.,Uvidíme se příště.,,ne,ne
crossing,křižovatka,154,At the next crossing turn right.,Na příští křižovatce zahni doprava.,,ano,ne
call,"volat, telefonovat",155,I call Jane.,Zavolám Janě.,,ano,ne
river,řeka,156,I you go to school near the river.,Chodím do školy blízko řeky.,,ano,ne
skating,bruslení,157,Do you like skating?,Máš ráda bruslení?,,ano,ne
together,"dohromady, spolu",158,We can play together with Peter.,Můžeme si hrát společně s Petrem.,,ne,ne
play,"hrát si, hra",159,We play with our friends.,Hrajeme si s našimi přáteli.,,ano,ne
time,čas,160,At what time?,V kolik hodin?,,ne,ne
o'clock,hodin,161,At five o'clock.,V pět hodin.,,ne,ne
week,týden,162,I have time on Monday next week.,Mám čas v pondělí příští týden.,,ano,ne
Monday,pondělí,163,On Monday at eight o'clock.,V pondělí v 8 hodin.,,ne,ne
agreed,domluveno,164,"Ok Tom, agreed.","Ok Tome, domluveno.",,ne,ne
daughter,dcera,165,Our daughter is tall.,Naše dcera je vysoká.,Family,ano,ne
son,syn,166,He has one son and two daughters.,Má syna a dvě dcery.,Family,ano,ne
aunt,teta,167,My aunt lives in England.,Moje teta bydlí v Anglii.,Family,ano,ne
uncle,strýc,168,My uncle likes football.,Můj strýc má rád fotbal.,Family,ano,ne
cousin,"bratranec, sestřenice",169,I have three cousins.,Mám tři bratrance (sestřenice).,Family,ano,ne
orange,oranžový,170,I have an orange T-shirt.,Mám oranžové tričko.,Colors,ano,ne
purple,fialový,171,I like purple flowers.,Mám rád fialové květiny.,Colors,ne,ne
pink,růžový,172,Small pink pig.,Malé růžové prasátko.,Colors,ne,ne
bear,medvěd,173,The bear walks slowly through the forest.,Medvěd pomalu kráčí lesem.,Animals,ne,ne
camel,velbloud,174,The camel carries water across the desert.,Velbloud nese vodu přes poušť.,Animals,ne,ne
deer,jelen,175,A deer stands quietly near the trees.,Jelen tiše stojí u stromů.,Animals,ne,ne
eagle,orel,176,The eagle flies high above the mountains.,Orel letí vysoko nad horami.,Animals,ne,ne
fox,liška,177,The fox runs quickly through the grass.,Liška rychle běží trávou.,Animals,ne,ne
goose,husa,178,The goose walks by the pond and honks.,Husa jde u rybníka a kejhá.,Animals,ne,ne
hippo,hroch,179,The hippo rests in the water.,Hroch odpočívá ve vodě.,Animals,ne,ne
mouse,myš,180,The mouse hides under the table.,Myš se schová pod stolem.,Animals,ne,ne
parrot,papoušek,181,The parrot says hello in a funny voice.,Papoušek řekne ahoj legračním hlasem.,Animals,ne,ne
pig,prase,182,The pig plays in the mud.,Prase si hraje v blátě.,Animals,ne,ne
snake,had,183,The snake moves quietly in the warm sand.,Had se tiše pohybuje v teplém písku.,Animals,ne,ne
tortoise,želva,184,The tortoise walks very slowly.,Želva jde velmi pomalu.,Animals,ne,ne
turkey,krocan,185,The turkey stands near the farm gate.,Krocan stojí u brány farmy.,Animals,ne,ne
wolf,vlk,186,The wolf looks at the moon.,Vlk se dívá na měsíc.,Animals,ne,ne
one,jedna,187,One bird is sitting on the roof.,Na střeše sedí jeden pták.,,ne,ne
two,dva,188,Two paths meet near the lake.,U jezera se setkávají dvě cesty.,,ne,ne
three,tři,189,Three rabbits sit near the tree.,U stromu sedí tři králíci.,,ne,ne
four,čtyři,190,Four children are playing in the garden.,Na zahradě si hrají čtyři děti.,,ne,ne
five,pět,191,Five stars shine in the dark sky.,Na tmavé obloze svítí pět hvězd.,,ne,ne
six,šest,192,Six oranges are in the basket.,V košíku je šest pomerančů.,,ne,ne
seven,sedm,193,Seven sheep are standing in the field.,Na poli stojí sedm ovcí.,,ne,ne
eight,osm,194,Eight ducks are swimming on the pond.,Na rybníku plave osm kachen.,,ne,ne
apples,jablka,195,The apples are red and sweet.,Jablka jsou červená a sladká.,Food,ne,ne
sunflowers,slunečnice,196,The tall sunflowers turn toward the sun.,Vysoké slunečnice se otáčejí ke slunci.,,ne,ne
pigs,prasátka,197,The pigs are sleeping in the warm straw.,Prasátka spí v teplé slámě.,Animals,ne,ne
count,počítej,198,Count the apples in the basket.,Spočítej jablka v košíku.,Actions,ne,ne
we can,my můžeme,199,We can help the little animal.,Můžeme pomoci malému zvířeti.,,ne,ne
friends,kamarádi,200,We are good friends and help each other.,Jsme dobří kamarádi a pomáháme si.,,ne,ne
OK,dobře,201,"OK, I will wait by the gate.","Dobře, počkám u branky.",Greetings,ne,ne
let's go,pojďme,202,Let's go to the park now.,Pojďme teď do parku.,,ne,ne
we are,my jsme,203,We are ready to start the lesson.,Jsme připraveni začít lekci.,,ne,ne
too,také,204,I want to go to the lake too.,Také chci jít k jezeru.,,ne,ne
going,jdeme,205,We are going to the lake together.,Jdeme společně k jezeru.,Actions,ne,ne
ball,míč,206,The child throws the ball to a friend.,Dítě hází míč kamarádovi.,Things,ne,ne
car,auto,207,Our car is parked in front of the house.,Naše auto stojí před domem.,Things,ne,ne
train,vlak,208,The train arrives at the station on time.,Vlak přijíždí na nádraží včas.,Things,ne,ne
cup,hrnek,209,My blue cup is on the table.,Můj modrý hrnek je na stole.,Things,ne,ne
shoe,bota,210,I tie my shoe before we leave.,"Než odejdeme, zavážu si botu.",Things,ne,ne
tree,strom,211,A bird is building a nest in the tree.,Pták si staví hnízdo na stromě.,,ne,ne
banana,banán,212,I peel a banana for my snack.,Oloupu si banán ke svačině.,Food,ne,ne
boat,loď,213,A small boat sails across the lake.,Malá loď pluje přes jezero.,Things,ne,ne
plate,talíř,214,Please put the bread on the plate.,Prosím polož chleba na talíř.,Things,ne,ne
sock,ponožka,215,I found one sock under the bed.,Našel jsem jednu ponožku pod postelí.,Things,ne,ne
flower,kytka,216,A yellow flower grows by the path.,U cesty roste žlutá kytka.,,ne,ne
bus,autobus,217,The yellow bus stops near the school.,Žlutý autobus zastavuje u školy.,Things,ne,ne
spoon,lžička,218,She eats her soup with a spoon.,Jí polévku lžičkou.,Things,ne,ne
hat,čepice,219,Her warm hat is on the chair.,Její teplá čepice je na židli.,Things,ne,ne
sun,slunce,220,The sun warms the garden in the morning.,Slunce ráno zahřívá zahradu.,,ne,ne
carrot,mrkev,221,The rabbit eats a fresh carrot.,Králík jí čerstvou mrkev.,Food,ne,ne
chair,židle,222,The wooden chair stands beside the table.,Dřevěná židle stojí vedle stolu.,Things,ne,ne
moon,měsíc,223,The moon is bright above the forest.,Měsíc jasně svítí nad lesem.,,ne,ne
bread,chleba,224,We buy fresh bread in the morning.,Ráno kupujeme čerstvý chleba.,Food,ne,ne
truck,náklaďák,225,The truck carries boxes to the shop.,Náklaďák veze krabice do obchodu.,Things,ne,ne
bed,postel,226,The cat is sleeping under the bed.,Kočka spí pod postelí.,Things,ne,ne
star,hvězda,227,The first star appears in the evening sky.,Na večerní obloze se objeví první hvězda.,,ne,ne
cake,dort,228,There is a birthday cake on the table.,Na stole je narozeninový dort.,Food,ne,ne
plane,letadlo,229,The plane flies above the clouds.,Letadlo letí nad mraky.,Things,ne,ne
door,dveře,230,Please close the door behind you.,Prosím zavři za sebou dveře.,Things,ne,ne
cloud,mrak,231,A dark cloud moves across the sky.,Po obloze se pohybuje tmavý mrak.,,ne,ne
rocket,raketa,232,The rocket rises into the sky.,Raketa stoupá k obloze.,Things,ne,ne
window,okno,233,Open the window and let in fresh air.,Otevři okno a pusť dovnitř čerstvý vzduch.,Things,ne,ne
key,klíč,234,This small key opens the front door.,Tento malý klíč otevírá přední dveře.,Things,ne,ne
stone,kámen,235,A smooth stone lies beside the water.,U vody leží hladký kámen.,Things,ne,ne
robot,robot,236,The little robot waves its hand.,Malý robot mává rukou.,Things,ne,ne
fork,vidlička,237,I eat the salad with a fork.,Jím salát vidličkou.,Things,ne,ne
cap,čepice,238,He wears a red cap in the sun.,Na slunci nosí červenou čepici.,Things,ne,ne
leaf,list,239,A red leaf falls from the tree.,Ze stromu padá červený list.,,ne,ne
cookie,sušenka,240,She puts one cookie on the plate.,Položí jednu sušenku na talíř.,Food,ne,ne
block,kostka,241,The child builds a tower with a blue block.,Dítě staví věž z modré kostky.,Things,ne,ne
pencil,tužka,242,I write my name with a pencil.,Píšu své jméno tužkou.,Things,ne,ne
pants,kalhoty,243,These blue pants are too long.,Tyto modré kalhoty jsou příliš dlouhé.,Things,ne,ne
stick,klacek,244,The dog carries a stick in its mouth.,Pes nese v tlamě klacek.,Things,ne,ne
corn,kukuřice,245,The farmer grows corn in this field.,Farmář pěstuje na tomto poli kukuřici.,Food,ne,ne
doll,panenka,246,The little girl puts her doll to bed.,Holčička ukládá panenku do postele.,Things,ne,ne
map,mapa,247,The map shows the way to the lake.,Mapa ukazuje cestu k jezeru.,Things,ne,ne
soap,mýdlo,248,Wash your hands with soap and water.,Umyj si ruce mýdlem a vodou.,Things,ne,ne
pillow,polštář,249,My head rests on a soft pillow.,Hlavu mám položenou na měkkém polštáři.,Things,ne,ne
grape,hroznové víno,250,One purple grape falls from the bunch.,Z hroznu spadne jedna fialová kulička vína.,Food,ne,ne
toy,hračka,251,The child puts the toy into the box.,Dítě dává hračku do krabice.,Things,ne,ne
kite,drak,252,The colorful kite flies high in the wind.,Barevný drak létá vysoko ve větru.,Things,ne,ne
lamp,lampa,253,The lamp gives us light in the evening.,Lampa nám večer svítí.,Things,ne,ne
boots,holinky,254,I wear my boots when it rains.,"Když prší, nosím holinky.",Things,ne,ne
pea,hrášek,255,A small green pea is on the plate.,Na talíři je malý zelený hrášek.,Food,ne,ne
nuts,oříšky,256,The squirrel keeps its nuts in a bag.,Veverka má oříšky v brašně.,Food,ne,ne
I have,mám,257,I have a map in my bag.,Mám v tašce mapu.,,ne,ne
I don't have,nemám,258,I don't have my bag with me.,Nemám u sebe svou tašku.,,ne,ne
Do you have?,máš?,259,Do you have a pencil?,Máš tužku?,,ne,ne
Does he have?,má on?,260,Does he have the key?,Má on ten klíč?,,ne,ne
Look inside,podívej se dovnitř,261,Look inside the box for the missing toy.,Podívej se dovnitř krabice po ztracené hračce.,Actions,ne,ne
wait,počkat,262,Please wait for me by the door.,Prosím počkej na mě u dveří.,Actions,ne,ne
look,"podívej, dívat se",263,Look at the bird in the tree.,Podívej se na ptáka na stromě.,Actions,ne,ne
way,cesta,264,This is the way to the farm.,Tudy se jde k farmě.,,ne,ne
path,cesta,265,This path leads through the forest.,Tato cesta vede lesem.,,ne,ne
crow,havran,266,A black crow sits on the fence.,Na plotě sedí černý havran.,Animals,ne,ne
bad,špatný,267,This road is bad after the rain.,Tato cesta je po dešti špatná.,,ne,ne
deep,hluboký,268,The water is deep near the bridge.,Voda je u mostu hluboká.,,ne,ne
valley,údolí,269,A river runs through the deep valley.,Hlubokým údolím protéká řeka.,,ne,ne
maybe,možná,270,Maybe we can go there tomorrow.,Možná tam můžeme jít zítra.,,ne,ne
bears,medvědi,271,The bears walk slowly through the forest.,Medvědi pomalu kráčejí lesem.,Animals,ne,ne
but,ale,272,"I am tired, but I am happy.","Jsem unavený, ale jsem šťastný.",,ne,ne
scared,vystrašený,273,The horse is scared of the loud noise.,Kůň se bojí hlasitého zvuku.,,ne,ne
me too,já také,274,"I like apples, and my friend says, ‘Me too.’",Mám rád jablka a kamarád říká: „Já také.“,,ne,ne
friendly,přátelský,275,The horse is calm and friendly.,Kůň je klidný a přátelský.,,ne,ne
careful,"opatrný, opatrně",276,Be careful when you cross the road.,"Buď opatrný, když přecházíš silnici.",,ne,ne
warning,varování,277,The warning tells us to stop.,"Varování nám říká, abychom zastavili.",,ne,ne
farm,farma,278,There are cows and chickens on the farm.,Na farmě jsou krávy a slepice.,,ne,ne
stranger,cizinec,279,Do not open the gate for a stranger.,Neotvírej branku cizinci.,,ne,ne
come,"jít, přijít",280,Please come to the table.,Prosím přijď ke stolu.,Actions,ne,ne
pump,pumpa,281,The old pump brings water from the ground.,Stará pumpa čerpá vodu ze země.,Things,ne,ne
get,dostat,282,I get a present on my birthday.,K narozeninám dostanu dárek.,Actions,ne,ne
bucket,"vědro, kbelík",283,The bucket is full of clean water.,Kbelík je plný čisté vody.,Things,ne,ne
empty,prázdný,284,The glass is empty now.,Sklenice je teď prázdná.,,ne,ne
I don't know,nevím,285,I don't know the answer yet.,Ještě nevím odpověď.,,ne,ne
forest,les,286,We walk quietly through the green forest.,Tiše procházíme zeleným lesem.,,ne,ne
